TICKER,OFTIC,ANALYS,FPI,MEASURE,VALUE,FPEDATS,ANNDATS,ACTUAL,ANNDATS_ACT
AMZN,AMZN,132634,6,EPS,0.251,2019/9/30,2019/8/1,0.2115,2019/10/24
AMZN,AMZN,105975,6,EPS,0.2255,2019/9/30,2019/9/5,0.2115,2019/10/24
AMZN,AMZN,182826,6,EPS,0.2595,2019/9/30,2019/9/18,0.2115,2019/10/24
AMZN,AMZN,123215,6,EPS,0.2565,2019/9/30,2019/10/8,0.2115,2019/10/24
AMZN,AMZN,125405,6,EPS,0.29,2019/9/30,2019/10/11,0.2115,2019/10/24
AMZN,AMZN,146997,6,EPS,0.3015,2019/9/30,2019/10/14,0.2115,2019/10/24
AMZN,AMZN,72088,6,EPS,0.2465,2019/9/30,2019/10/15,0.2115,2019/10/24
AMZN,AMZN,114392,6,EPS,0.3957,2019/9/30,2019/10/16,0.2115,2019/10/24
AMZN,AMZN,110432,6,EPS,0.2655,2019/9/30,2019/10/16,0.2115,2019/10/24
AMZN,AMZN,105975,6,EPS,0.237,2019/9/30,2019/10/22,0.2115,2019/10/24
AMZN,AMZN,125888,6,EPS,0.2305,2019/9/30,2019/10/23,0.2115,2019/10/24
AMZN,AMZN,182826,6,EPS,0.1735,2019/12/31,2019/10/24,0.3235,2020/1/30
AMZN,AMZN,80183,6,EPS,0.207,2019/12/31,2019/10/24,0.3235,2020/1/30
AMZN,AMZN,110432,6,EPS,0.2345,2019/12/31,2019/10/24,0.3235,2020/1/30
AMZN,AMZN,59339,6,EPS,0.223,2019/12/31,2019/10/24,0.3235,2020/1/30
AMZN,AMZN,87229,6,EPS,0.217,2019/12/31,2019/10/24,0.3235,2020/1/30
AMZN,AMZN,56585,6,EPS,0.156,2019/12/31,2019/10/24,0.3235,2020/1/30
AMZN,AMZN,125405,6,EPS,0.204,2019/12/31,2019/10/24,0.3235,2020/1/30
AMZN,AMZN,79306,6,EPS,0.2095,2019/12/31,2019/10/24,0.3235,2020/1/30
AMZN,AMZN,22953,6,EPS,0.1815,2019/12/31,2019/10/24,0.3235,2020/1/30
AMZN,AMZN,73111,6,EPS,0.208,2019/12/31,2019/10/24,0.3235,2020/1/30
AMZN,AMZN,108441,6,EPS,0.187,2019/12/31,2019/10/24,0.3235,2020/1/30
AMZN,AMZN,80702,6,EPS,0.202,2019/12/31,2019/10/25,0.3235,2020/1/30
AMZN,AMZN,118746,6,EPS,0.19,2019/12/31,2019/10/25,0.3235,2020/1/30
AMZN,AMZN,58063,6,EPS,0.1435,2019/12/31,2019/10/25,0.3235,2020/1/30
AMZN,AMZN,163994,6,EPS,0.2095,2019/12/31,2019/10/25,0.3235,2020/1/30
AMZN,AMZN,141764,6,EPS,0.1795,2019/12/31,2019/10/25,0.3235,2020/1/30
AMZN,AMZN,125796,6,EPS,0.2145,2019/12/31,2019/10/25,0.3235,2020/1/30
AMZN,AMZN,111135,6,EPS,0.203,2019/12/31,2019/10/25,0.3235,2020/1/30
AMZN,AMZN,123215,6,EPS,0.2105,2019/12/31,2019/10/25,0.3235,2020/1/30
AMZN,AMZN,72088,6,EPS,0.2265,2019/12/31,2019/10/25,0.3235,2020/1/30
AMZN,AMZN,106993,6,EPS,0.1655,2019/12/31,2019/10/25,0.3235,2020/1/30
AMZN,AMZN,109688,6,EPS,0.181,2019/12/31,2019/10/25,0.3235,2020/1/30
AMZN,AMZN,192535,6,EPS,0.1945,2019/12/31,2019/10/25,0.3235,2020/1/30
AMZN,AMZN,114392,6,EPS,0.427,2019/12/31,2019/10/25,0.3235,2020/1/30
AMZN,AMZN,124377,6,EPS,0.194,2019/12/31,2019/10/25,0.3235,2020/1/30
AMZN,AMZN,142116,6,EPS,0.2175,2019/12/31,2019/10/25,0.3235,2020/1/30
AMZN,AMZN,119308,6,EPS,0.203,2019/12/31,2019/10/25,0.3235,2020/1/30
AMZN,AMZN,114459,6,EPS,0.204,2019/12/31,2019/10/25,0.3235,2020/1/30
AMZN,AMZN,166386,6,EPS,0.162,2019/12/31,2019/10/25,0.3235,2020/1/30
AMZN,AMZN,70872,6,EPS,0.2015,2019/12/31,2019/10/25,0.3235,2020/1/30
AMZN,AMZN,133860,6,EPS,0.209,2019/12/31,2019/10/25,0.3235,2020/1/30
AMZN,AMZN,192537,6,EPS,0.2145,2019/12/31,2019/10/25,0.3235,2020/1/30
AMZN,AMZN,146997,6,EPS,0.2215,2019/12/31,2019/10/25,0.3235,2020/1/30
AMZN,AMZN,80523,6,EPS,0.194,2019/12/31,2019/10/25,0.3235,2020/1/30
AMZN,AMZN,108299,6,EPS,0.1095,2019/12/31,2019/10/25,0.3235,2020/1/30
AMZN,AMZN,77748,6,EPS,0.252,2019/12/31,2019/10/25,0.3235,2020/1/30
AMZN,AMZN,125888,6,EPS,0.2315,2019/12/31,2019/10/25,0.3235,2020/1/30
AMZN,AMZN,0,6,EPS,0.2125,2019/12/31,2019/10/25,0.3235,2020/1/30
