TICKER,OFTIC,CNAME,MEASURE,VALUE,ANNDATS,ANNTIMS,ACTUAL,ANNDATS_ACT,ANNTIMS_ACT
AMZN,AMZN,AMAZON.COM,GRM,42.3,2019-08-01,16:27:00,41.04,2019-10-24,16:01:00
AMZN,AMZN,AMAZON.COM,GRM,41.2,2019-09-05,8:34:00,41.04,2019-10-24,16:01:00
AMZN,AMZN,AMAZON.COM,GRM,41,2019-10-08,23:29:00,41.04,2019-10-24,16:01:00
AMZN,AMZN,AMAZON.COM,GRM,41,2019-10-22,8:49:00,41.04,2019-10-24,16:01:00
AMZN,AMZN,AMAZON.COM,GRM,41.4,2019-08-01,16:27:00,41.04,2020-01-30,16:01:00
AMZN,AMZN,AMAZON.COM,GRM,41.3,2019-09-05,8:34:00,41.04,2020-01-30,16:01:00
AMZN,AMZN,AMAZON.COM,GRM,41,2019-10-08,23:29:00,41.04,2020-01-30,16:01:00
AMZN,AMZN,AMAZON.COM,GRM,41.264,2019-10-16,4:02:00,41.04,2020-01-30,16:01:00
AMZN,AMZN,AMAZON.COM,GRM,41.2,2019-10-22,8:49:00,41.04,2020-01-30,16:01:00
AMZN,AMZN,AMAZON.COM,GRM,40.9,2019-10-24,22:49:00,41.04,2020-01-30,16:01:00
AMZN,AMZN,AMAZON.COM,GRM,40.4,2019-10-24,21:45:00,41.04,2020-01-30,16:01:00
AMZN,AMZN,AMAZON.COM,GRM,40.7,2019-10-24,21:30:00,41.04,2020-01-30,16:01:00
AMZN,AMZN,AMAZON.COM,GRM,40.8,2019-10-24,22:52:00,41.04,2020-01-30,16:01:00
AMZN,AMZN,AMAZON.COM,GRM,40.6,2019-10-24,22:10:00,41.04,2020-01-30,16:01:00
AMZN,AMZN,AMAZON.COM,GRM,40.9,2019-10-24,23:06:00,41.04,2020-01-30,16:01:00
AMZN,AMZN,AMAZON.COM,GRM,41.2,2019-10-25,13:09:00,41.04,2020-01-30,16:01:00
AMZN,AMZN,AMAZON.COM,GRM,41.1,2019-10-25,6:39:00,41.04,2020-01-30,16:01:00
AMZN,AMZN,AMAZON.COM,GRM,40.2,2019-10-25,9:04:00,41.04,2020-01-30,16:01:00
AMZN,AMZN,AMAZON.COM,GRM,41.1,2019-10-25,9:19:00,41.04,2020-01-30,16:01:00
AMZN,AMZN,AMAZON.COM,GRM,40.9,2019-10-25,7:27:00,41.04,2020-01-30,16:01:00
AMZN,AMZN,AMAZON.COM,GRM,41.2,2019-10-25,5:28:00,41.04,2020-01-30,16:01:00
AMZN,AMZN,AMAZON.COM,GRM,41,2019-10-25,1:40:00,41.04,2020-01-30,16:01:00
AMZN,AMZN,AMAZON.COM,GRM,41.2,2019-10-25,6:07:00,41.04,2020-01-30,16:01:00
AMZN,AMZN,AMAZON.COM,GRM,41.093,2019-10-25,4:04:00,41.04,2020-01-30,16:01:00
AMZN,AMZN,AMAZON.COM,GRM,41.7,2019-10-25,3:18:00,41.04,2020-01-30,16:01:00
AMZN,AMZN,AMAZON.COM,GRM,40.8,2019-10-25,3:46:00,41.04,2020-01-30,16:01:00
AMZN,AMZN,AMAZON.COM,GRM,41,2019-10-25,2:45:00,41.04,2020-01-30,16:01:00
AMZN,AMZN,AMAZON.COM,GRM,40.6,2019-10-25,1:09:00,41.04,2020-01-30,16:01:00
AMZN,AMZN,AMAZON.COM,GRM,40.8,2019-10-25,6:57:00,41.04,2020-01-30,16:01:00
AMZN,AMZN,AMAZON.COM,GRM,40.9,2019-10-25,1:10:00,41.04,2020-01-30,16:01:00
AMZN,AMZN,AMAZON.COM,GRM,41,2019-10-25,6:33:00,41.04,2020-01-30,16:01:00
AMZN,AMZN,AMAZON.COM,GRM,40.8,2019-10-25,6:13:00,41.04,2020-01-30,16:01:00
AMZN,AMZN,AMAZON.COM,GRM,40.5,2019-10-25,0:26:00,41.04,2020-01-30,16:01:00
AMZN,AMZN,AMAZON.COM,GRM,40.8,2019-10-25,6:43:00,41.04,2020-01-30,16:01:00
AMZN,AMZN,AMAZON.COM,GRM,40.9,2019-11-26,7:02:00,41.04,2020-01-30,16:01:00
AMZN,AMZN,AMAZON.COM,GRM,40.7,2019-12-10,16:45:00,41.04,2020-01-30,16:01:00
AMZN,AMZN,AMAZON.COM,GRM,41,2020-01-09,16:30:00,41.04,2020-01-30,16:01:00
AMZN,AMZN,AMAZON.COM,GRM,40.7,2020-01-13,5:10:00,41.04,2020-01-30,16:01:00
AMZN,AMZN,AMAZON.COM,GRM,40.9,2020-01-28,8:34:00,41.04,2020-01-30,16:01:00
AMZN,AMZN,AMAZON.COM,GRM,40.988,2020-01-28,4:04:00,41.04,2020-01-30,16:01:00
AMZN,AMZN,AMAZON.COM,GRM,39.32,2019-10-24,18:13:00,38.32,2020-01-30,16:01:00
AMZN,AMZN,AMAZON.COM,GRM,37.7,2019-10-24,22:49:00,38.32,2020-01-30,16:01:00
AMZN,AMZN,AMAZON.COM,GRM,36.3,2019-10-24,21:45:00,38.32,2020-01-30,16:01:00
AMZN,AMZN,AMAZON.COM,GRM,37.1,2019-10-24,21:30:00,38.32,2020-01-30,16:01:00
AMZN,AMZN,AMAZON.COM,GRM,37.7,2019-10-24,22:52:00,38.32,2020-01-30,16:01:00
