TICKER,OFTIC,MEASURE,VALUE,ANNDATS,ACTUAL
AMZN,AMZN,GRM,42.3,2019-08-01,41.04
AMZN,AMZN,GRM,41.2,2019-09-05,41.04
AMZN,AMZN,GRM,41,2019-10-08,41.04
AMZN,AMZN,GRM,41,2019-10-22,41.04
AMZN,AMZN,GRM,41.4,2019-08-01,41.04
AMZN,AMZN,GRM,41.3,2019-09-05,41.04
AMZN,AMZN,GRM,41,2019-10-08,41.04
AMZN,AMZN,GRM,41.264,2019-10-16,41.04
AMZN,AMZN,GRM,41.2,2019-10-22,41.04
AMZN,AMZN,GRM,40.9,2019-10-24,41.04
AMZN,AMZN,GRM,40.4,2019-10-24,41.04
AMZN,AMZN,GRM,40.7,2019-10-24,41.04
AMZN,AMZN,GRM,40.8,2019-10-24,41.04
AMZN,AMZN,GRM,40.6,2019-10-24,41.04
AMZN,AMZN,GRM,40.9,2019-10-24,41.04
AMZN,AMZN,GRM,41.2,2019-10-25,41.04
AMZN,AMZN,GRM,41.1,2019-10-25,41.04
AMZN,AMZN,GRM,40.2,2019-10-25,41.04
AMZN,AMZN,GRM,41.1,2019-10-25,41.04
AMZN,AMZN,GRM,40.9,2019-10-25,41.04
AMZN,AMZN,GRM,41.2,2019-10-25,41.04
AMZN,AMZN,GRM,41,2019-10-25,41.04
AMZN,AMZN,GRM,41.2,2019-10-25,41.04
AMZN,AMZN,GRM,41.093,2019-10-25,41.04
AMZN,AMZN,GRM,41.7,2019-10-25,41.04
AMZN,AMZN,GRM,40.8,2019-10-25,41.04
AMZN,AMZN,GRM,41,2019-10-25,41.04
AMZN,AMZN,GRM,40.6,2019-10-25,41.04
AMZN,AMZN,GRM,40.8,2019-10-25,41.04
AMZN,AMZN,GRM,40.9,2019-10-25,41.04
AMZN,AMZN,GRM,41,2019-10-25,41.04
AMZN,AMZN,GRM,40.8,2019-10-25,41.04
AMZN,AMZN,GRM,40.5,2019-10-25,41.04
AMZN,AMZN,GRM,40.8,2019-10-25,41.04
AMZN,AMZN,GRM,40.9,2019-11-26,41.04
AMZN,AMZN,GRM,40.7,2019-12-10,41.04
AMZN,AMZN,GRM,41,2020-01-09,41.04
AMZN,AMZN,GRM,40.7,2020-01-13,41.04
AMZN,AMZN,GRM,40.9,2020-01-28,41.04
AMZN,AMZN,GRM,40.988,2020-01-28,41.04
AMZN,AMZN,GRM,39.32,2019-10-24,38.32
AMZN,AMZN,GRM,37.7,2019-10-24,38.32
AMZN,AMZN,GRM,36.3,2019-10-24,38.32
AMZN,AMZN,GRM,37.1,2019-10-24,38.32
AMZN,AMZN,GRM,37.7,2019-10-24,38.32
AMZN,AMZN,GRM,36.7,2019-10-24,38.32
AMZN,AMZN,GRM,38,2019-10-24,38.32
AMZN,AMZN,GRM,38.7,2019-10-25,38.32
AMZN,AMZN,GRM,38.4,2019-10-25,38.32
AMZN,AMZN,GRM,35.6,2019-10-25,38.32
AMZN,AMZN,GRM,37.6,2019-10-25,38.32
AMZN,AMZN,GRM,38.4,2019-10-25,38.32
AMZN,AMZN,GRM,37.8,2019-10-25,38.32
AMZN,AMZN,GRM,38.7,2019-10-25,38.32
AMZN,AMZN,GRM,38.8,2019-10-25,38.32
AMZN,AMZN,GRM,38,2019-10-25,38.32
AMZN,AMZN,GRM,40.3,2019-10-25,38.32
AMZN,AMZN,GRM,37.5,2019-10-25,38.32
AMZN,AMZN,GRM,38.1,2019-10-25,38.32
AMZN,AMZN,GRM,37,2019-10-25,38.32
AMZN,AMZN,GRM,37.9,2019-10-25,38.32
AMZN,AMZN,GRM,37.7,2019-10-25,38.32
AMZN,AMZN,GRM,36.8,2019-10-25,38.32
AMZN,AMZN,GRM,37.5,2019-10-25,38.32
