TICKER,OFTIC,MEASURE,VALUE,ANNDATS,ACTUAL
AMZN,AMZN,SAL,18.3,2019-10-11,
AMZN,AMZN,SAL,23,2019-10-24,
AMZN,AMZN,SAL,17.6,2019-10-24,
AMZN,AMZN,SAL,16.3,2019-10-28,
AMZN,AMZN,SAL,18,2019-12-06,
AMZN,AMZN,SAL,19.3,2020-01-10,
AMZN,AMZN,SAL,17.5,2020-01-22,
AMZN,AMZN,SAL,19.1,2020-01-23,
AMZN,AMZN,SAL,16.8,2020-01-30,
AMZN,AMZN,SAL,19.8,2020-01-30,
AMZN,AMZN,SAL,20,2020-01-30,
AMZN,AMZN,SAL,17.5,2020-01-31,
AMZN,AMZN,SAL,15.3,2020-01-31,
AMZN,AMZN,SAL,18.1,2020-04-16,
AMZN,AMZN,SAL,22,2020-04-26,
AMZN,AMZN,SAL,19.7,2020-04-27,
AMZN,AMZN,SAL,20.1,2020-04-27,
AMZN,AMZN,SAL,20.1,2020-04-30,
AMZN,AMZN,SAL,16.9,2020-04-30,
AMZN,AMZN,SAL,17.4,2020-05-07,
AMZN,AMZN,SAL,18.9,2020-07-07,
AMZN,AMZN,SAL,24,2020-07-23,
AMZN,AMZN,SAL,19.1,2020-07-24,
AMZN,AMZN,SAL,24,2020-07-31,
AMZN,AMZN,SAL,25.3,2020-07-31,
AMZN,AMZN,SAL,20.4,2020-07-31,
AMZN,AMZN,SAL,21.4,2020-07-31,
AMZN,AMZN,SAL,25.8,2020-09-21,
AMZN,AMZN,SAL,26.2,2020-10-25,
AMZN,AMZN,SAL,18.8,2020-10-29,
AMZN,AMZN,SAL,26,2020-10-30,
AMZN,AMZN,SAL,27.2,2020-10-30,
AMZN,AMZN,SAL,21.4,2020-10-30,
AMZN,AMZN,SAL,21.9,2020-11-01,
AMZN,AMZN,SAL,27.3,2021-01-28,
AMZN,AMZN,SAL,16.7,2021-02-02,
AMZN,AMZN,SAL,18.7,2021-02-02,
AMZN,AMZN,SAL,18.9,2021-02-03,
AMZN,AMZN,SAL,16.4,2021-02-03,
AMZN,AMZN,SAL,28,2021-02-03,
AMZN,AMZN,SAL,16.3,2021-04-07,
AMZN,AMZN,SAL,19.4,2021-04-21,
AMZN,AMZN,SAL,17.1,2021-04-29,
AMZN,AMZN,SAL,24.4,2021-04-29,
AMZN,AMZN,SAL,19.5,2021-04-29,
AMZN,AMZN,SAL,29,2021-04-30,
AMZN,AMZN,SAL,20.1,2021-05-26,
AMZN,AMZN,SAL,21,2021-06-29,
AMZN,AMZN,SAL,20.6,2021-07-20,
AMZN,AMZN,SAL,17.5,2021-07-29,
AMZN,AMZN,SAL,17.6,2021-07-29,
AMZN,AMZN,SAL,28,2021-07-29,
AMZN,AMZN,SAL,22.2,2021-07-30,
AMZN,AMZN,SAL,20.1,2021-07-30,
AMZN,AMZN,SAL,17.1,2021-10-28,
AMZN,AMZN,SAL,17.2,2021-10-28,
AMZN,AMZN,SAL,20.2,2021-10-28,
AMZN,AMZN,SAL,21.4,2021-10-28,
AMZN,AMZN,SAL,20,2021-11-29,
AMZN,AMZN,SAL,20.4,2022-01-22,
AMZN,AMZN,SAL,14.2,2022-02-03,
AMZN,AMZN,SAL,20.1,2022-02-03,
AMZN,AMZN,SAL,16.2,2022-02-04,
AMZN,AMZN,SAL,17,2022-03-02,
