TICKER,OFTIC,ANALYS,FPI,MEASURE,VALUE,FPEDATS,ANNDATS,ACTUAL,ANNDATS_ACT
BABA,BABA,160294,6,EPS,8.66,2019/6/30,2019/8/5,12.55,2019/8/15
BABA,BABA,159605,6,EPS,9.62,2019/6/30,2019/8/1,12.55,2019/8/15
BABA,BABA,79294,6,EPS,11.22,2019/6/30,2019/8/9,12.55,2019/8/15
BABA,BABA,111204,6,EPS,9.09,2019/6/30,2019/8/12,12.55,2019/8/15
BABA,BABA,159605,6,EPS,10.57,2019/9/30,2019/8/15,13.1,2019/11/1
BABA,BABA,22953,6,EPS,10.3,2019/9/30,2019/8/15,13.1,2019/11/1
BABA,BABA,130431,6,EPS,9.947,2019/9/30,2019/8/15,13.1,2019/11/1
BABA,BABA,192292,6,EPS,10.66,2019/9/30,2019/8/15,13.1,2019/11/1
BABA,BABA,79306,6,EPS,10.15,2019/9/30,2019/8/15,13.1,2019/11/1
BABA,BABA,71165,6,EPS,9.97,2019/9/30,2019/8/15,13.1,2019/11/1
BABA,BABA,106993,6,EPS,10.82,2019/9/30,2019/8/15,13.1,2019/11/1
BABA,BABA,79294,6,EPS,11.65,2019/9/30,2019/8/15,13.1,2019/11/1
BABA,BABA,103370,6,EPS,6.01,2019/9/30,2019/8/15,13.1,2019/11/1
BABA,BABA,80183,6,EPS,11.07,2019/9/30,2019/8/15,13.1,2019/11/1
BABA,BABA,184603,6,EPS,11.22,2019/9/30,2019/8/15,13.1,2019/11/1
BABA,BABA,80523,6,EPS,10.73,2019/9/30,2019/8/15,13.1,2019/11/1
BABA,BABA,189183,6,EPS,9.9,2019/9/30,2019/8/16,13.1,2019/11/1
BABA,BABA,190038,6,EPS,10.2,2019/9/30,2019/8/16,13.1,2019/11/1
BABA,BABA,129984,6,EPS,11.3226,2019/9/30,2019/8/16,13.1,2019/11/1
BABA,BABA,111135,6,EPS,10.96,2019/9/30,2019/8/16,13.1,2019/11/1
BABA,BABA,125796,6,EPS,9.96,2019/9/30,2019/8/16,13.1,2019/11/1
