TICKER,OFTIC,CNAME,MEASURE,VALUE,ANNDATS,ANNTIMS,ACTUAL,ANNDATS_ACT,ANNTIMS_ACT
BABA,BABA,ALIBABA,GRM,44.1,2019-08-05,20:37:00,49.32,2019-08-15,7:05:00
BABA,BABA,ALIBABA,GRM,47,2019-08-01,19:49:00,49.32,2019-08-15,7:05:00
BABA,BABA,ALIBABA,GRM,41,2019-08-06,23:30:00,49.32,2019-08-15,7:05:00
BABA,BABA,ALIBABA,GRM,47,2019-08-15,16:20:00,46.64,2019-11-01,7:09:00
BABA,BABA,ALIBABA,GRM,47,2019-08-15,20:56:00,46.64,2019-11-01,7:09:00
BABA,BABA,ALIBABA,GRM,46.3,2019-08-15,23:36:00,46.64,2019-11-01,7:09:00
BABA,BABA,ALIBABA,GRM,45,2019-08-15,19:30:00,46.64,2019-11-01,7:09:00
BABA,BABA,ALIBABA,GRM,43.043,2019-08-15,14:22:00,46.64,2019-11-01,7:09:00
BABA,BABA,ALIBABA,GRM,45.1,2019-08-15,17:00:00,46.64,2019-11-01,7:09:00
BABA,BABA,ALIBABA,GRM,45.5,2019-08-15,19:36:00,46.64,2019-11-01,7:09:00
BABA,BABA,ALIBABA,GRM,46.5,2019-08-15,14:27:00,46.64,2019-11-01,7:09:00
BABA,BABA,ALIBABA,GRM,46,2019-08-16,0:00:00,46.64,2019-11-01,7:09:00
BABA,BABA,ALIBABA,GRM,44.2,2019-08-16,6:54:00,46.64,2019-11-01,7:09:00
BABA,BABA,ALIBABA,GRM,44.2,2019-08-16,4:29:00,46.64,2019-11-01,7:09:00
BABA,BABA,ALIBABA,GRM,45.9,2019-08-16,6:10:00,46.64,2019-11-01,7:09:00
BABA,BABA,ALIBABA,GRM,43.5,2019-08-18,22:22:00,46.64,2019-11-01,7:09:00
BABA,BABA,ALIBABA,GRM,42.1,2019-08-19,20:42:00,46.64,2019-11-01,7:09:00
BABA,BABA,ALIBABA,GRM,45,2019-08-19,0:51:00,46.64,2019-11-01,7:09:00
BABA,BABA,ALIBABA,GRM,43.8,2019-08-21,11:37:00,46.64,2019-11-01,7:09:00
BABA,BABA,ALIBABA,GRM,48.3,2019-08-29,16:36:00,46.64,2019-11-01,7:09:00
BABA,BABA,ALIBABA,GRM,44,2019-10-14,16:09:00,46.64,2019-11-01,7:09:00
BABA,BABA,ALIBABA,GRM,46.2,2019-10-15,23:06:00,46.64,2019-11-01,7:09:00
BABA,BABA,ALIBABA,GRM,44.7,2019-10-16,22:00:00,46.64,2019-11-01,7:09:00
BABA,BABA,ALIBABA,GRM,42.2,2019-10-16,23:25:00,46.64,2019-11-01,7:09:00
BABA,BABA,ALIBABA,GRM,45,2019-10-20,22:52:00,46.64,2019-11-01,7:09:00
BABA,BABA,ALIBABA,GRM,46.2,2019-10-22,1:56:00,46.64,2019-11-01,7:09:00
BABA,BABA,ALIBABA,GRM,43,2019-10-25,5:00:00,46.64,2019-11-01,7:09:00
BABA,BABA,ALIBABA,GRM,43,2019-10-27,15:07:00,46.64,2019-11-01,7:09:00
BABA,BABA,ALIBABA,GRM,42,2019-08-05,20:37:00,46.64,2019-11-01,7:09:00
BABA,BABA,ALIBABA,GRM,41,2019-11-01,20:07:00,48.81,2020-02-13,6:45:00
BABA,BABA,ALIBABA,GRM,48.5,2019-11-01,18:46:00,48.81,2020-02-13,6:45:00
BABA,BABA,ALIBABA,GRM,47.9,2019-11-01,14:40:00,48.81,2020-02-13,6:45:00
BABA,BABA,ALIBABA,GRM,47.7,2019-11-01,14:34:00,48.81,2020-02-13,6:45:00
BABA,BABA,ALIBABA,GRM,46.6,2019-11-01,17:12:00,48.81,2020-02-13,6:45:00
BABA,BABA,ALIBABA,GRM,43.9,2019-11-03,20:29:00,48.81,2020-02-13,6:45:00
BABA,BABA,ALIBABA,GRM,50,2019-11-03,19:39:00,48.81,2020-02-13,6:45:00
BABA,BABA,ALIBABA,GRM,49.9,2019-11-03,21:39:00,48.81,2020-02-13,6:45:00
BABA,BABA,ALIBABA,GRM,47.9,2019-11-04,6:21:00,48.81,2020-02-13,6:45:00
BABA,BABA,ALIBABA,GRM,46.1,2019-11-04,0:09:00,48.81,2020-02-13,6:45:00
BABA,BABA,ALIBABA,GRM,46.3,2019-11-04,5:33:00,48.81,2020-02-13,6:45:00
BABA,BABA,ALIBABA,GRM,46.5,2019-11-04,0:48:00,48.81,2020-02-13,6:45:00
BABA,BABA,ALIBABA,GRM,47.8,2019-11-02,17:46:00,48.81,2020-02-13,6:45:00
