TICKER,OFTIC,CNAME,MEASURE,VALUE,ANNDATS,ANNTIMS,ACTUAL,ANNDATS_ACT,ANNTIMS_ACT
BABA,BABA,ALIBABA,SAL,32.7,2019/8/15,13:48:00,,,
BABA,BABA,ALIBABA,SAL,22.3,2019/8/27,15:43:00,,,
BABA,BABA,ALIBABA,SAL,27.6,2019/9/20,06:06:00,,,
BABA,BABA,ALIBABA,SAL,38,2019/11/1,14:40:00,,,
BABA,BABA,ALIBABA,SAL,43.5,2019/11/1,13:52:00,,,
BABA,BABA,ALIBABA,SAL,21.4,2019/11/3,22:26:00,,,
BABA,BABA,ALIBABA,SAL,30,2019/11/4,00:48:00,,,
BABA,BABA,ALIBABA,SAL,39,2019/12/10,06:10:00,,,
BABA,BABA,ALIBABA,SAL,35.9,2020/2/13,13:56:00,,,
BABA,BABA,ALIBABA,SAL,27.2,2020/2/14,12:03:00,,,
BABA,BABA,ALIBABA,SAL,30.4,2020/2/14,18:07:00,,,
BABA,BABA,ALIBABA,SAL,22.2,2020/2/14,10:26:00,,,
BABA,BABA,ALIBABA,SAL,38,2020/4/13,14:00:00,,,
BABA,BABA,ALIBABA,SAL,22.9,2020/4/23,09:48:00,,,
BABA,BABA,ALIBABA,SAL,29.1,2020/5/22,15:37:00,,,
BABA,BABA,ALIBABA,SAL,19.9,2020/5/25,06:08:00,,,
BABA,BABA,ALIBABA,SAL,24.4,2020/5/26,23:10:00,,,
BABA,BABA,ALIBABA,SAL,24.6,2020/6/19,02:50:00,,,
BABA,BABA,ALIBABA,SAL,24.7,2020/7/20,08:01:00,,,
BABA,BABA,ALIBABA,SAL,19.6,2020/7/24,09:04:00,,,
BABA,BABA,ALIBABA,SAL,24.9,2020/8/20,14:45:00,,,
BABA,BABA,ALIBABA,SAL,29.3,2020/8/20,14:30:00,,,
BABA,BABA,ALIBABA,SAL,31,2020/8/21,00:05:00,,,
BABA,BABA,ALIBABA,SAL,25.2,2020/8/24,03:14:00,,,
BABA,BABA,ALIBABA,SAL,25.8,2020/10/20,01:21:00,,,
BABA,BABA,ALIBABA,SAL,33,2020/11/5,19:05:00,,,
BABA,BABA,ALIBABA,SAL,22.1,2020/11/6,00:51:00,,,
BABA,BABA,ALIBABA,SAL,30.1,2020/11/9,02:07:00,,,
BABA,BABA,ALIBABA,SAL,28.9,2021/1/11,07:06:00,,,
BABA,BABA,ALIBABA,SAL,26.6,2021/1/22,06:04:00,,,
BABA,BABA,ALIBABA,SAL,34,2021/2/2,14:40:00,,,
BABA,BABA,ALIBABA,SAL,36.5,2021/2/2,16:36:00,,,
BABA,BABA,ALIBABA,SAL,31,2021/4/12,06:11:00,,,
BABA,BABA,ALIBABA,SAL,21.7,2021/4/12,08:58:00,,,
BABA,BABA,ALIBABA,SAL,27.3,2021/5/13,16:06:00,,,
BABA,BABA,ALIBABA,SAL,33,2021/5/13,13:56:00,,,
BABA,BABA,ALIBABA,SAL,18.2,2021/5/14,09:44:00,,,
BABA,BABA,ALIBABA,SAL,35.7,2021/5/17,15:38:00,,,
BABA,BABA,ALIBABA,SAL,28,2021/7/7,11:21:00,,,
BABA,BABA,ALIBABA,SAL,26.7,2021/7/29,06:06:00,,,
BABA,BABA,ALIBABA,SAL,26.3,2021/8/3,15:33:00,,,
BABA,BABA,ALIBABA,SAL,25.1,2021/8/3,12:12:00,,,
BABA,BABA,ALIBABA,SAL,20.3,2021/9/29,16:36:00,,,
BABA,BABA,ALIBABA,SAL,17.4,2021/11/1,10:34:00,,,
BABA,BABA,ALIBABA,SAL,20.9,2021/11/2,16:08:00,,,
BABA,BABA,ALIBABA,SAL,17.8,2021/11/18,20:00:00,,,
BABA,BABA,ALIBABA,SAL,17,2021/11/18,16:23:00,,,
BABA,BABA,ALIBABA,SAL,16.2,2021/11/19,12:17:00,,,
BABA,BABA,ALIBABA,SAL,19.9,2021/12/19,16:36:00,,,
BABA,BABA,ALIBABA,SAL,16.8,2022/1/11,22:30:00,,,
BABA,BABA,ALIBABA,SAL,15.8,2022/1/16,22:40:00,,,
BABA,BABA,ALIBABA,SAL,20.2,2022/1/26,06:04:00,,,
BABA,BABA,ALIBABA,SAL,17.2,2022/2/8,15:37:00,,,
BABA,BABA,ALIBABA,SAL,13,2022/2/24,15:23:00,,,
BABA,BABA,ALIBABA,SAL,16,2022/2/25,06:13:00,,,
BABA,BABA,ALIBABA,SAL,14.9,2022/2/25,07:23:00,,,
BABA,BABA,ALIBABA,SAL,15.3,2022/2/27,15:42:00,,,
BABA,BABA,ALIBABA,SAL,13,2022/4/14,03:58:00,,,
BABA,BABA,ALIBABA,SAL,11.2,2022/5/27,07:32:00,,,
BABA,BABA,ALIBABA,SAL,11,2022/7/7,08:51:00,,,
BABA,BABA,ALIBABA,SAL,12,2022/8/4,12:17:00,,,
BABA,BABA,ALIBABA,SAL,11,2022/10/3,11:37:00,,,
BABA,BABA,ALIBABA,SAL,4,2023/1/9,11:43:00,,,
BABA,BABA,ALIBABA,SAL,6.9,2023/1/10,11:37:00,,,
BABA,BABA,ALIBABA,SAL,7,2023/2/23,19:23:00,,,
BABA,BABA,ALIBABA,SAL,3,2023/4/4,14:03:00,,,
BABA,BABA,ALIBABA,SAL,6.6,2023/4/17,06:06:00,,,
BABA,BABA,ALIBABA,SAL,8.2,2023/5/18,21:37:00,,,
BABA,BABA,ALIBABA,SAL,4,2023/8/10,14:51:00,,,
BABA,BABA,ALIBABA,SAL,10.2,2023/8/14,06:12:00,,,
BABA,BABA,ALIBABA,SAL,9,2023/10/31,06:03:00,,,
BABA,BABA,ALIBABA,SAL,3,2023/11/16,12:46:00,,,
BABA,BABA,ALIBABA,SAL,8.7,2023/11/16,14:25:00,,,
BABA,BABA,ALIBABA,SAL,6,2024/1/9,15:05:00,,,
BABA,BABA,ALIBABA,SAL,8.8,2024/1/11,06:02:00,,,
BABA,BABA,ALIBABA,SAL,8.5,2024/2/7,17:32:00,,,
BABA,BABA,ALIBABA,SAL,5,2024/4/16,13:13:00,,,
BABA,BABA,ALIBABA,SAL,6.7,2024/5/7,06:03:00,,,
BABA,BABA,ALIBABA,SAL,6,2024/5/14,14:36:00,,,
BABA,BABA,ALIBABA,SAL,8.8,2024/5/15,06:02:00,,,
BABA,BABA,ALIBABA,SAL,5.6,2024/8/15,19:51:00,,,
BABA,BABA,ALIBABA,SAL,111273,2019/8/4,15:46:00,114924,2019/8/15,07:05:00
BABA,BABA,ALIBABA,SAL,111100,2019/8/5,20:37:00,114924,2019/8/15,07:05:00
BABA,BABA,ALIBABA,SAL,112626,2019/8/1,19:49:00,114924,2019/8/15,07:05:00
BABA,BABA,ALIBABA,SAL,113451,2019/8/6,23:30:00,114924,2019/8/15,07:05:00
BABA,BABA,ALIBABA,SAL,113395.13,2019/8/9,05:30:00,114924,2019/8/15,07:05:00
BABA,BABA,ALIBABA,SAL,111546,2019/8/12,11:32:00,114924,2019/8/15,07:05:00
BABA,BABA,ALIBABA,SAL,117776,2019/8/15,20:56:00,119017,2019/11/1,07:09:00
BABA,BABA,ALIBABA,SAL,117686,2019/8/15,16:20:00,119017,2019/11/1,07:09:00
BABA,BABA,ALIBABA,SAL,116805.9,2019/8/15,19:30:00,119017,2019/11/1,07:09:00
BABA,BABA,ALIBABA,SAL,117986,2019/8/15,19:30:00,119017,2019/11/1,07:09:00
BABA,BABA,ALIBABA,SAL,118321.14,2019/8/15,23:36:00,119017,2019/11/1,07:09:00
BABA,BABA,ALIBABA,SAL,114685.79,2019/8/15,14:13:00,119017,2019/11/1,07:09:00
BABA,BABA,ALIBABA,SAL,118219,2019/8/15,17:00:00,119017,2019/11/1,07:09:00
BABA,BABA,ALIBABA,SAL,116352,2019/8/15,14:22:00,119017,2019/11/1,07:09:00
BABA,BABA,ALIBABA,SAL,116753,2019/8/15,17:46:00,119017,2019/11/1,07:09:00
BABA,BABA,ALIBABA,SAL,119746,2019/8/15,19:36:00,119017,2019/11/1,07:09:00
BABA,BABA,ALIBABA,SAL,117041,2019/8/15,16:02:00,119017,2019/11/1,07:09:00
BABA,BABA,ALIBABA,SAL,115643,2019/8/15,14:27:00,119017,2019/11/1,07:09:00
BABA,BABA,ALIBABA,SAL,115858,2019/8/16,06:23:00,119017,2019/11/1,07:09:00
BABA,BABA,ALIBABA,SAL,114912,2019/8/16,05:00:00,119017,2019/11/1,07:09:00
BABA,BABA,ALIBABA,SAL,117174,2019/8/16,00:00:00,119017,2019/11/1,07:09:00
BABA,BABA,ALIBABA,SAL,115920,2019/8/16,06:54:00,119017,2019/11/1,07:09:00
BABA,BABA,ALIBABA,SAL,117527,2019/8/16,04:29:00,119017,2019/11/1,07:09:00
BABA,BABA,ALIBABA,SAL,117656,2019/8/16,06:10:00,119017,2019/11/1,07:09:00
BABA,BABA,ALIBABA,SAL,114965,2019/8/18,22:22:00,119017,2019/11/1,07:09:00
BABA,BABA,ALIBABA,SAL,116500,2019/8/19,20:42:00,119017,2019/11/1,07:09:00
BABA,BABA,ALIBABA,SAL,115475,2019/8/19,00:51:00,119017,2019/11/1,07:09:00
BABA,BABA,ALIBABA,SAL,117517,2019/8/21,11:37:00,119017,2019/11/1,07:09:00
BABA,BABA,ALIBABA,SAL,116434,2019/8/21,20:48:00,119017,2019/11/1,07:09:00
BABA,BABA,ALIBABA,SAL,117854,2019/8/29,16:36:00,119017,2019/11/1,07:09:00
BABA,BABA,ALIBABA,SAL,116696,2019/9/10,07:10:00,119017,2019/11/1,07:09:00
BABA,BABA,ALIBABA,SAL,115972,2019/10/9,08:12:00,119017,2019/11/1,07:09:00
BABA,BABA,ALIBABA,SAL,117454,2019/10/14,16:09:00,119017,2019/11/1,07:09:00
BABA,BABA,ALIBABA,SAL,118693.07,2019/10/15,23:06:00,119017,2019/11/1,07:09:00
BABA,BABA,ALIBABA,SAL,117041,2019/10/16,22:00:00,119017,2019/11/1,07:09:00
BABA,BABA,ALIBABA,SAL,118300,2019/10/16,23:25:00,119017,2019/11/1,07:09:00
BABA,BABA,ALIBABA,SAL,116041,2019/10/20,22:52:00,119017,2019/11/1,07:09:00
BABA,BABA,ALIBABA,SAL,115506,2019/10/20,22:17:00,119017,2019/11/1,07:09:00
BABA,BABA,ALIBABA,SAL,114268,2019/10/22,08:26:00,119017,2019/11/1,07:09:00
BABA,BABA,ALIBABA,SAL,117626,2019/10/22,01:56:00,119017,2019/11/1,07:09:00
BABA,BABA,ALIBABA,SAL,117803,2019/10/25,05:00:00,119017,2019/11/1,07:09:00
BABA,BABA,ALIBABA,SAL,116680.99,2019/10/25,07:30:00,119017,2019/11/1,07:09:00
BABA,BABA,ALIBABA,SAL,114164,2019/8/4,15:46:00,119017,2019/11/1,07:09:00
BABA,BABA,ALIBABA,SAL,111900,2019/8/5,20:37:00,119017,2019/11/1,07:09:00
BABA,BABA,ALIBABA,SAL,116217.27,2019/8/9,05:30:00,119017,2019/11/1,07:09:00
BABA,BABA,ALIBABA,SAL,114485,2019/8/12,11:32:00,119017,2019/11/1,07:09:00
BABA,BABA,ALIBABA,SAL,158860,2019/11/1,14:40:00,161456,2020/2/13,06:45:00
BABA,BABA,ALIBABA,SAL,157082,2019/11/1,15:33:00,161456,2020/2/13,06:45:00
BABA,BABA,ALIBABA,SAL,158677,2019/11/1,18:46:00,161456,2020/2/13,06:45:00
BABA,BABA,ALIBABA,SAL,162586,2019/11/1,17:12:00,161456,2020/2/13,06:45:00
BABA,BABA,ALIBABA,SAL,158340,2019/11/1,20:07:00,161456,2020/2/13,06:45:00
BABA,BABA,ALIBABA,SAL,151269,2019/11/2,21:49:00,161456,2020/2/13,06:45:00
BABA,BABA,ALIBABA,SAL,166200,2019/11/3,20:29:00,161456,2020/2/13,06:45:00
