TICKER,OFTIC,ANALYS,FPI,MEASURE,VALUE,FPEDATS,ANNDATS,ACTUAL,ANNDATS_ACT
WMT,WMT,127023,6,EPS,0.4033,2019/7/31,2019/8/12,0.4233,2019/8/15
WMT,WMT,122956,6,EPS,0.36,2019/10/31,2019/8/15,0.3867,2019/11/14
WMT,WMT,110432,6,EPS,0.35,2019/10/31,2019/8/15,0.3867,2019/11/14
WMT,WMT,75676,6,EPS,0.37,2019/10/31,2019/8/15,0.3867,2019/11/14
WMT,WMT,160532,6,EPS,0.3633,2019/10/31,2019/8/15,0.3867,2019/11/14
WMT,WMT,190834,6,EPS,0.3667,2019/10/31,2019/8/15,0.3867,2019/11/14
WMT,WMT,119883,6,EPS,0.3633,2019/10/31,2019/8/15,0.3867,2019/11/14
WMT,WMT,113156,6,EPS,0.39,2019/10/31,2019/8/15,0.3867,2019/11/14
WMT,WMT,113415,6,EPS,0.35,2019/10/31,2019/8/15,0.3867,2019/11/14
WMT,WMT,120210,6,EPS,0.3573,2019/10/31,2019/8/15,0.3867,2019/11/14
WMT,WMT,107677,6,EPS,0.3633,2019/10/31,2019/8/15,0.3867,2019/11/14
WMT,WMT,108441,6,EPS,0.3567,2019/10/31,2019/8/15,0.3867,2019/11/14
WMT,WMT,80702,6,EPS,0.36,2019/10/31,2019/8/15,0.3867,2019/11/14
WMT,WMT,7891,6,EPS,0.3633,2019/10/31,2019/8/15,0.3867,2019/11/14
WMT,WMT,186954,6,EPS,0.36,2019/10/31,2019/8/15,0.3867,2019/11/14
WMT,WMT,59339,6,EPS,0.369,2019/10/31,2019/8/15,0.3867,2019/11/14
WMT,WMT,143894,6,EPS,0.36,2019/10/31,2019/8/15,0.3867,2019/11/14
WMT,WMT,48177,6,EPS,0.3533,2019/10/31,2019/8/16,0.3867,2019/11/14
WMT,WMT,113251,6,EPS,0.36,2019/10/31,2019/8/16,0.3867,2019/11/14
WMT,WMT,56168,6,EPS,0.3733,2019/10/31,2019/8/16,0.3867,2019/11/14
WMT,WMT,58487,6,EPS,0.3533,2019/10/31,2019/8/16,0.3867,2019/11/14
WMT,WMT,187554,6,EPS,0.38,2019/10/31,2019/8/16,0.3867,2019/11/14
WMT,WMT,110432,6,EPS,0.3633,2019/10/31,2019/10/16,0.3867,2019/11/14
WMT,WMT,75676,6,EPS,0.3733,2019/10/31,2019/10/23,0.3867,2019/11/14
WMT,WMT,122956,6,EPS,0.3667,2019/10/31,2019/11/4,0.3867,2019/11/14
WMT,WMT,82287,6,EPS,0.3633,2019/10/31,2019/11/7,0.3867,2019/11/14
WMT,WMT,113156,6,EPS,0.3833,2019/10/31,2019/11/8,0.3867,2019/11/14
WMT,WMT,80702,6,EPS,0.3667,2019/10/31,2019/11/13,0.3867,2019/11/14
WMT,WMT,127023,7,EPS,0.36,2019/10/31,2019/8/12,0.3867,2019/11/14
WMT,WMT,122956,6,EPS,0.4967,2020/1/31,2019/11/14,0.46,2020/2/18
WMT,WMT,143894,6,EPS,0.47,2020/1/31,2019/11/14,0.46,2020/2/18
WMT,WMT,113156,6,EPS,0.5,2020/1/31,2019/11/14,0.46,2020/2/18
WMT,WMT,48177,6,EPS,0.4467,2020/1/31,2019/11/14,0.46,2020/2/18
WMT,WMT,110432,6,EPS,0.4833,2020/1/31,2019/11/14,0.46,2020/2/18
WMT,WMT,113415,6,EPS,0.4867,2020/1/31,2019/11/14,0.46,2020/2/18
WMT,WMT,59339,6,EPS,0.4977,2020/1/31,2019/11/14,0.46,2020/2/18
WMT,WMT,127023,6,EPS,0.4667,2020/1/31,2019/11/14,0.46,2020/2/18
WMT,WMT,80702,6,EPS,0.4733,2020/1/31,2019/11/14,0.46,2020/2/18
WMT,WMT,7891,6,EPS,0.48,2020/1/31,2019/11/14,0.46,2020/2/18
WMT,WMT,187554,6,EPS,0.4733,2020/1/31,2019/11/14,0.46,2020/2/18
WMT,WMT,56168,6,EPS,0.4867,2020/1/31,2019/11/15,0.46,2020/2/18
WMT,WMT,183603,6,EPS,0.49,2020/1/31,2019/11/15,0.46,2020/2/18
WMT,WMT,58487,6,EPS,0.4767,2020/1/31,2019/11/15,0.46,2020/2/18
WMT,WMT,113251,6,EPS,0.4833,2020/1/31,2019/12/30,0.46,2020/2/18
WMT,WMT,113251,6,EPS,0.48,2020/1/31,2020/1/21,0.46,2020/2/18
WMT,WMT,113156,6,EPS,0.4867,2020/1/31,2020/2/10,0.46,2020/2/18
WMT,WMT,82287,6,EPS,0.47,2020/1/31,2020/2/11,0.46,2020/2/18
WMT,WMT,113251,6,EPS,0.4733,2020/1/31,2020/2/11,0.46,2020/2/18
WMT,WMT,120210,6,EPS,0.4763,2020/1/31,2020/2/11,0.46,2020/2/18
WMT,WMT,122956,6,EPS,0.48,2020/1/31,2020/2/11,0.46,2020/2/18
WMT,WMT,186954,6,EPS,0.47,2020/1/31,2020/2/12,0.46,2020/2/18
WMT,WMT,110432,6,EPS,0.4867,2020/1/31,2020/2/12,0.46,2020/2/18
WMT,WMT,160532,6,EPS,0.48,2020/1/31,2020/2/12,0.46,2020/2/18
WMT,WMT,143894,6,EPS,0.4767,2020/1/31,2020/2/12,0.46,2020/2/18
WMT,WMT,75676,6,EPS,0.4767,2020/1/31,2020/2/13,0.46,2020/2/18
WMT,WMT,183603,6,EPS,0.4833,2020/1/31,2020/2/13,0.46,2020/2/18
WMT,WMT,56168,6,EPS,0.4767,2020/1/31,2020/2/14,0.46,2020/2/18
WMT,WMT,122956,7,EPS,0.4833,2020/1/31,2019/8/15,0.46,2020/2/18
WMT,WMT,110432,7,EPS,0.4433,2020/1/31,2019/8/15,0.46,2020/2/18
WMT,WMT,113415,7,EPS,0.4833,2020/1/31,2019/8/15,0.46,2020/2/18
WMT,WMT,7891,7,EPS,0.4733,2020/1/31,2019/8/15,0.46,2020/2/18
WMT,WMT,113156,7,EPS,0.5033,2020/1/31,2019/8/15,0.46,2020/2/18
WMT,WMT,59339,7,EPS,0.497,2020/1/31,2019/8/15,0.46,2020/2/18
WMT,WMT,80702,7,EPS,0.49,2020/1/31,2019/8/15,0.46,2020/2/18
WMT,WMT,120210,7,EPS,0.4797,2020/1/31,2019/8/15,0.46,2020/2/18
WMT,WMT,119883,7,EPS,0.48,2020/1/31,2019/8/15,0.46,2020/2/18
WMT,WMT,107677,7,EPS,0.4833,2020/1/31,2019/8/15,0.46,2020/2/18
WMT,WMT,186954,7,EPS,0.4833,2020/1/31,2019/8/15,0.46,2020/2/18
WMT,WMT,190834,7,EPS,0.4833,2020/1/31,2019/8/15,0.46,2020/2/18
WMT,WMT,160532,7,EPS,0.4833,2020/1/31,2019/8/15,0.46,2020/2/18
WMT,WMT,108441,7,EPS,0.48,2020/1/31,2019/8/15,0.46,2020/2/18
WMT,WMT,143894,7,EPS,0.47,2020/1/31,2019/8/15,0.46,2020/2/18
WMT,WMT,56168,7,EPS,0.4833,2020/1/31,2019/8/16,0.46,2020/2/18
WMT,WMT,48177,7,EPS,0.4633,2020/1/31,2019/8/16,0.46,2020/2/18
WMT,WMT,187554,7,EPS,0.4767,2020/1/31,2019/8/16,0.46,2020/2/18
WMT,WMT,113251,7,EPS,0.47,2020/1/31,2019/8/16,0.46,2020/2/18
WMT,WMT,58487,7,EPS,0.48,2020/1/31,2019/8/16,0.46,2020/2/18
WMT,WMT,187554,7,EPS,0.48,2020/1/31,2019/10/6,0.46,2020/2/18
WMT,WMT,113251,7,EPS,0.48,2020/1/31,2019/10/8,0.46,2020/2/18
WMT,WMT,110432,7,EPS,0.4767,2020/1/31,2019/10/16,0.46,2020/2/18
WMT,WMT,75676,7,EPS,0.4833,2020/1/31,2019/10/23,0.46,2020/2/18
WMT,WMT,122956,7,EPS,0.4867,2020/1/31,2019/11/4,0.46,2020/2/18
WMT,WMT,82287,7,EPS,0.4733,2020/1/31,2019/11/7,0.46,2020/2/18
WMT,WMT,143894,7,EPS,0.4767,2020/1/31,2019/11/11,0.46,2020/2/18
WMT,WMT,187554,7,EPS,0.4767,2020/1/31,2019/11/13,0.46,2020/2/18
WMT,WMT,127023,8,EPS,0.4733,2020/1/31,2019/8/12,0.46,2020/2/18
WMT,WMT,82287,6,EPS,0.3867,2020/4/30,2020/2/18,0.3933,2020/5/19
WMT,WMT,127023,6,EPS,0.3833,2020/4/30,2020/2/18,0.3933,2020/5/19
WMT,WMT,113251,6,EPS,0.3767,2020/4/30,2020/2/18,0.3933,2020/5/19
WMT,WMT,59339,6,EPS,0.3787,2020/4/30,2020/2/18,0.3933,2020/5/19
WMT,WMT,75676,6,EPS,0.3833,2020/4/30,2020/2/18,0.3933,2020/5/19
WMT,WMT,7891,6,EPS,0.3767,2020/4/30,2020/2/18,0.3933,2020/5/19
WMT,WMT,143894,6,EPS,0.3767,2020/4/30,2020/2/18,0.3933,2020/5/19
WMT,WMT,160532,6,EPS,0.38,2020/4/30,2020/2/18,0.3933,2020/5/19
WMT,WMT,113415,6,EPS,0.3833,2020/4/30,2020/2/18,0.3933,2020/5/19
WMT,WMT,120210,6,EPS,0.3803,2020/4/30,2020/2/19,0.3933,2020/5/19
WMT,WMT,108441,6,EPS,0.3833,2020/4/30,2020/2/19,0.3933,2020/5/19
WMT,WMT,80702,6,EPS,0.3633,2020/4/30,2020/2/19,0.3933,2020/5/19
WMT,WMT,186954,6,EPS,0.3833,2020/4/30,2020/2/19,0.3933,2020/5/19
WMT,WMT,183603,6,EPS,0.3733,2020/4/30,2020/2/19,0.3933,2020/5/19
WMT,WMT,107677,6,EPS,0.38,2020/4/30,2020/2/19,0.3933,2020/5/19
WMT,WMT,58487,6,EPS,0.3833,2020/4/30,2020/2/20,0.3933,2020/5/19
WMT,WMT,56168,6,EPS,0.3833,2020/4/30,2020/2/21,0.3933,2020/5/19
WMT,WMT,190834,6,EPS,0.38,2020/4/30,2020/2/19,0.3933,2020/5/19
WMT,WMT,110432,6,EPS,0.3867,2020/4/30,2020/2/26,0.3933,2020/5/19
WMT,WMT,120210,6,EPS,0.3727,2020/4/30,2020/3/18,0.3933,2020/5/19
WMT,WMT,82287,6,EPS,0.3967,2020/4/30,2020/3/19,0.3933,2020/5/19
WMT,WMT,186954,6,EPS,0.4033,2020/4/30,2020/3/19,0.3933,2020/5/19
WMT,WMT,110432,6,EPS,0.46,2020/4/30,2020/3/20,0.3933,2020/5/19
WMT,WMT,82287,6,EPS,0.4067,2020/4/30,2020/3/25,0.3933,2020/5/19
WMT,WMT,115583,6,EPS,0.4,2020/4/30,2020/3/26,0.3933,2020/5/19
WMT,WMT,113415,6,EPS,0.4533,2020/4/30,2020/3/30,0.3933,2020/5/19
WMT,WMT,108441,6,EPS,0.4067,2020/4/30,2020/4/1,0.3933,2020/5/19
WMT,WMT,127023,6,EPS,0.4133,2020/4/30,2020/4/6,0.3933,2020/5/19
WMT,WMT,122956,6,EPS,0.3967,2020/4/30,2020/4/21,0.3933,2020/5/19
WMT,WMT,186954,6,EPS,0.4067,2020/4/30,2020/4/27,0.3933,2020/5/19
WMT,WMT,119883,6,EPS,0.3833,2020/4/30,2020/4/28,0.3933,2020/5/19
WMT,WMT,113251,6,EPS,0.3967,2020/4/30,2020/4/29,0.3933,2020/5/19
WMT,WMT,113415,6,EPS,0.38,2020/4/30,2020/4/30,0.3933,2020/5/19
WMT,WMT,120210,6,EPS,0.2913,2020/4/30,2020/5/4,0.3933,2020/5/19
WMT,WMT,113156,6,EPS,0.32,2020/4/30,2020/5/11,0.3933,2020/5/19
