TICKER,OFTIC,CNAME,MEASURE,VALUE,ANNDATS,ANNTIMS,ACTUAL,ANNDATS_ACT,ANNTIMS_ACT
WMT,WMT,WALMART,GRM,25.06,2019-08-15,10:45:00,25.07,2019-11-14,7:05:00
WMT,WMT,WALMART,GRM,24.4,2019-08-15,17:21:00,25.07,2019-11-14,7:05:00
WMT,WMT,WALMART,GRM,24.49,2019-08-15,17:15:00,25.07,2019-11-14,7:05:00
WMT,WMT,WALMART,GRM,25.1,2019-08-16,5:10:00,25.07,2019-11-14,7:05:00
WMT,WMT,WALMART,GRM,25.1,2019-08-16,8:00:00,25.07,2019-11-14,7:05:00
WMT,WMT,WALMART,GRM,25,2019-08-16,7:41:00,25.07,2019-11-14,7:05:00
WMT,WMT,WALMART,GRM,24.5,2019-08-16,8:37:00,25.07,2019-11-14,7:05:00
WMT,WMT,WALMART,GRM,24.94,2019-09-03,5:48:00,25.07,2019-11-14,7:05:00
WMT,WMT,WALMART,GRM,25.2,2019-11-04,0:40:00,25.07,2019-11-14,7:05:00
WMT,WMT,WALMART,GRM,24.4,2019-11-07,16:48:00,25.07,2019-11-14,7:05:00
WMT,WMT,WALMART,GRM,24.6,2019-11-11,6:06:00,25.07,2019-11-14,7:05:00
WMT,WMT,WALMART,GRM,24,2019-08-12,5:13:00,25.07,2019-11-14,7:05:00
WMT,WMT,WALMART,GRM,24.71,2019-08-15,10:45:00,24.69,2020-02-18,6:00:00
WMT,WMT,WALMART,GRM,24.1,2019-08-15,17:21:00,24.69,2020-02-18,6:00:00
WMT,WMT,WALMART,GRM,24.739,2019-08-15,12:25:00,24.69,2020-02-18,6:00:00
WMT,WMT,WALMART,GRM,24.21,2019-08-15,22:21:00,24.69,2020-02-18,6:00:00
WMT,WMT,WALMART,GRM,24.3,2019-08-15,17:50:00,24.69,2020-02-18,6:00:00
WMT,WMT,WALMART,GRM,24.75,2019-08-16,8:00:00,24.69,2020-02-18,6:00:00
WMT,WMT,WALMART,GRM,24.3,2019-08-16,8:37:00,24.69,2020-02-18,6:00:00
WMT,WMT,WALMART,GRM,24.7,2019-08-16,7:41:00,24.69,2020-02-18,6:00:00
WMT,WMT,WALMART,GRM,24.74,2019-09-03,5:48:00,24.69,2020-02-18,6:00:00
