TICKER,OFTIC,CNAME,MEASURE,VALUE,ANNDATS,ANNTIMS,ACTUAL,ANNDATS_ACT,ANNTIMS_ACT
WMT,WMT,WALMART,SAL,2.7,2019-09-09,18:48:00,,,
WMT,WMT,WALMART,SAL,3.3,2019-09-12,10:15:00,,,
WMT,WMT,WALMART,SAL,3.4,2019-10-06,21:06:00,,,
WMT,WMT,WALMART,SAL,3.1,2020-02-12,12:35:00,,,
WMT,WMT,WALMART,SAL,3.8,2020-02-19,9:07:00,,,
WMT,WMT,WALMART,SAL,3.7,2020-02-19,5:31:00,,,
WMT,WMT,WALMART,SAL,3,2020-04-14,22:04:00,,,
WMT,WMT,WALMART,SAL,4.1,2020-05-19,7:42:00,,,
WMT,WMT,WALMART,SAL,3.6,2020-05-19,20:27:00,,,
WMT,WMT,WALMART,SAL,2.9,2020-06-11,21:07:00,,,
WMT,WMT,WALMART,SAL,4.7,2020-07-08,8:08:00,,,
WMT,WMT,WALMART,SAL,4.2,2020-08-16,21:06:00,,,
WMT,WMT,WALMART,SAL,4.8,2020-08-18,7:36:00,,,
WMT,WMT,WALMART,SAL,4.7,2020-11-17,21:07:00,,,
WMT,WMT,WALMART,SAL,1.5,2020-11-17,18:39:00,,,
WMT,WMT,WALMART,SAL,5.5,2021-02-18,8:19:00,,,
WMT,WMT,WALMART,SAL,1.5,2021-02-25,19:23:00,,,
WMT,WMT,WALMART,SAL,1.4,2021-03-24,23:20:00,,,
WMT,WMT,WALMART,SAL,2.6,2021-05-18,6:12:00,,,
WMT,WMT,WALMART,SAL,2.1,2021-06-10,2:11:00,,,
WMT,WMT,WALMART,SAL,1,2021-08-17,7:57:00,,,
WMT,WMT,WALMART,SAL,2,2021-08-31,2:40:00,,,
WMT,WMT,WALMART,SAL,2.3,2021-09-07,19:07:00,,,
WMT,WMT,WALMART,SAL,2.6,2021-11-16,9:46:00,,,
WMT,WMT,WALMART,SAL,4.2,2021-11-17,8:03:00,,,
WMT,WMT,WALMART,SAL,2.9,2021-12-15,18:11:00,,,
WMT,WMT,WALMART,SAL,3,2021-12-31,5:29:00,,,
WMT,WMT,WALMART,SAL,3.2,2022-01-12,16:10:00,,,
WMT,WMT,WALMART,SAL,3.3,2022-05-02,5:36:00,,,
WMT,WMT,WALMART,SAL,3.2,2022-05-19,16:48:00,,,
WMT,WMT,WALMART,SAL,4.2,2023-02-21,9:04:00,,,
WMT,WMT,WALMART,SAL,3.1,2023-04-11,6:42:00,,,
WMT,WMT,WALMART,SAL,2,2023-04-18,3:30:00,,,
WMT,WMT,WALMART,SAL,5.2,2023-05-19,0:05:00,,,
WMT,WMT,WALMART,SAL,3.7,2023-06-07,0:03:00,,,
WMT,WMT,WALMART,SAL,3.5,2023-08-17,17:57:00,,,
WMT,WMT,WALMART,SAL,4.3,2023-08-18,0:03:00,,,
WMT,WMT,WALMART,SAL,3.8,2024-02-12,5:47:00,,,
WMT,WMT,WALMART,SAL,127972.8,2019-08-12,5:24:00,130377,2019-08-15,7:02:00
WMT,WMT,WALMART,SAL,127887,2019-08-15,10:45:00,127991,2019-11-14,7:05:00
WMT,WMT,WALMART,SAL,127854.5,2019-08-15,22:21:00,127991,2019-11-14,7:05:00
WMT,WMT,WALMART,SAL,129578,2019-08-15,14:56:00,127991,2019-11-14,7:05:00
WMT,WMT,WALMART,SAL,128100,2019-08-15,13:25:00,127991,2019-11-14,7:05:00
WMT,WMT,WALMART,SAL,127814,2019-08-15,16:03:00,127991,2019-11-14,7:05:00
WMT,WMT,WALMART,SAL,126837,2019-08-15,17:21:00,127991,2019-11-14,7:05:00
WMT,WMT,WALMART,SAL,128903,2019-08-15,17:50:00,127991,2019-11-14,7:05:00
WMT,WMT,WALMART,SAL,130711,2019-08-15,16:37:00,127991,2019-11-14,7:05:00
WMT,WMT,WALMART,SAL,128511,2019-08-15,17:15:00,127991,2019-11-14,7:05:00
